Epoch,Train_Loss,Val_Loss,Liver_Dice,Liver_IoU,Liver_Prec,Liver_Recall,Instrument_Dice,Instrument_IoU,Instrument_Prec,Instrument_Recall
1,0.8430887641365995,0.8022201672196388,0.19033671580520153,0.107025545454941,0.3542427778674483,0.1401166293739578,0.027568826069178903,0.01406876722527225,0.01604186397896235,0.14623072189950875
2,0.7908707607038242,0.7759147137403488,0.17757293936026836,0.09842529390644243,0.37319296659348583,0.1271588609939103,0.02941961044635611,0.01510492761255278,0.02177464254222563,0.08391100983629601
3,0.7540130999899403,0.7634825110435486,0.16045857794070098,0.08850878191717562,0.41651180058300924,0.11419528108273547,0.0513307557579612,0.02693029851190575,0.04793004619080307,0.11416208864989115
4,0.7248686901687347,0.746916550397873,0.15742810804460755,0.08871104649693937,0.4429480975494169,0.12229704719143013,0.09890318654656348,0.05458108963753361,0.10608672788363038,0.21460711960086298
5,0.7002379597462329,0.7514806687831879,0.16235520903395168,0.09364213005026159,0.4642415607203606,0.13444692362435653,0.09465318512138801,0.05324749294488214,0.1059866457457598,0.20111740395815608
6,0.6485760165244033,0.736613093316555,0.20561491325166165,0.1248189810159391,0.48940296812091877,0.21596087849856035,0.15154434115448745,0.08870345868659546,0.2098962106537941,0.35335034025345735
7,0.6402308102735539,0.7342304050922394,0.21592992557459545,0.13188034330873777,0.49690065414088525,0.22747294910090593,0.16015378274502934,0.09389161577186235,0.2289453995163928,0.35436705076261665
8,0.6238350430100235,0.7417011842131614,0.1882552158913517,0.11364433335013384,0.5080462616335415,0.18555538588455756,0.1527571821213945,0.09037813738246016,0.21499639476021953,0.33682689680094663
9,0.579987399172537,0.7396314948797226,0.21329302801854233,0.13201233605496582,0.5250241273871873,0.23507865223015778,0.1663396488045783,0.0997818255581776,0.24850885799745964,0.3638356354799338
10,0.5478123467300356,0.7557363629341125,0.23599831822319964,0.15086178179911433,0.5353044244449823,0.2944981346362566,0.17339156148075507,0.10583117154109303,0.33318957428982143,0.3727575029939299
11,0.5240210648357254,0.7744539931416512,0.23168618163660093,0.14816361835629677,0.5485876432992344,0.28177598491804384,0.17629381817343773,0.11053650995098678,0.4077987215387256,0.3266908356819754
12,0.5049408814956232,0.7569571137428284,0.2439002263079145,0.15737252006608177,0.5439085811519024,0.31213533315466757,0.1767473551518724,0.11112042944289797,0.4358574974388213,0.3200670478414825
13,0.4895432065135425,0.7634983330965042,0.2460839789004508,0.15888537289111287,0.5410593451403878,0.3163301401461168,0.18206566224661883,0.11459875447576798,0.4329370794586113,0.32844532660622877
14,0.47881658135615673,0.762949550151825,0.21897285217200696,0.13780549996154068,0.5531771781061854,0.24873248572456483,0.18068204237520205,0.11518879489026249,0.4458725445311781,0.29572086415862564
15,0.4674361445547379,0.7648986712098121,0.23872315295733207,0.1520061193591467,0.5424291078833533,0.30162776730179436,0.1734796448435793,0.11308867509886444,0.45725257224938043,0.25903455860082236
16,0.45921727311365385,0.7824384227395058,0.2162001468119003,0.1354047929215898,0.5545648009793263,0.24231616300661196,0.17368970010504545,0.11209636222590642,0.45811065073072077,0.27059100196701363
17,0.45126255762945744,0.762092499434948,0.24505787614590863,0.1573603677917538,0.5411542973707941,0.31226788957134155,0.17538558914318095,0.11377568320907565,0.4558874816209205,0.28354896930231266
18,0.446902765656255,0.7716009020805359,0.22173520416100428,0.13957370611226724,0.5523235655324596,0.2509039223802178,0.1709618686888824,0.11187833963320253,0.4665175259001299,0.2415704274857609
19,0.4379498797286417,0.7473969250917435,0.2559011862859684,0.1661206540789694,0.5348422285356738,0.3412411803676494,0.1766642784776689,0.11515136222668557,0.43146035909622693,0.2677789955169369
20,0.4322676296701136,0.7445224553346634,0.24874473738613564,0.16041704505695484,0.5411112730068393,0.31755743634821404,0.1776047145466759,0.11659728216375972,0.4485337171695738,0.26231283577531667
21,0.4250387402846641,0.7401627860963345,0.2406752574763375,0.15447474627977123,0.5424879681702828,0.29048235479091544,0.176181994784306,0.11593908276292922,0.45860516536741996,0.2406367402511222
22,0.42207295427617336,0.7436596244573593,0.22866331636581796,0.14525037472330202,0.5452400886857913,0.26387998580385624,0.17278853014586687,0.11368407695665576,0.4747290757957566,0.23582467414934388
23,0.4180102965266434,0.7418199598789215,0.25013143981588426,0.16145483205719513,0.5400791879695455,0.3120104114117528,0.17726136505064236,0.1171981424639145,0.4885895957275377,0.23727192111460044
24,0.4127157423606853,0.7244064956903458,0.27022083122538687,0.17714505883595827,0.5312961269171332,0.36556899039430535,0.17848232912822687,0.11792797837893362,0.4481285303383788,0.2455053927719386
25,0.4119274852509351,0.7256262034177781,0.2446723068097826,0.15726991191953837,0.5395293461047215,0.30069323006026993,0.18823510441422858,0.1268694082720357,0.5065337678018357,0.23191086255978263
26,0.40783893238637864,0.7288662627339363,0.260627950927327,0.16915208995898284,0.5320531392829796,0.3450572666934055,0.1853331441849041,0.12371124773287398,0.4748051346233055,0.24061562252921917
27,0.40370523308970263,0.74407127648592,0.2511074449554486,0.16229951605889675,0.5373978169208347,0.31794615937289183,0.18525245760668596,0.12361017289090959,0.4932245747227973,0.23850143434111234
28,0.4010041553027851,0.7226053275167942,0.24571302940513204,0.15820768612860506,0.5390186935740091,0.30281144493027157,0.19277338134149918,0.12967585514351826,0.4776715140478388,0.23568426651530258
29,0.4021963280500825,0.7232993826270103,0.22628783844961015,0.1434202400095484,0.5437069332346353,0.25218458866124716,0.19347759271946635,0.1296121502682118,0.4678463877202928,0.24548429131872557
30,0.3984371063328281,0.717631171643734,0.24286424915833163,0.15580909686984093,0.5373540212015342,0.2927673613262646,0.18970048726788508,0.12791839205612837,0.48378054614125154,0.21869365580267197
31,0.3980858009500602,0.7161239720880985,0.25619847088533904,0.16589034823468665,0.5358489849621692,0.3215155601820646,0.18494324892433328,0.12384538518568619,0.47788074223433313,0.2241440524110893
32,0.39373966962406315,0.7047859229147434,0.2653679418061354,0.17297288301796393,0.5321157451202573,0.34305945668873183,0.19643820249483507,0.13154647064997627,0.46839861368398406,0.24559536721164227
33,0.39646906672986515,0.7023802839219571,0.2670452137905785,0.17430148125254327,0.5320811142445548,0.35284117111278834,0.19283692940200264,0.1284596129555317,0.4481441745864404,0.2478385337205024
34,0.39422066322307,0.7067836314439774,0.2787310510712143,0.18366014283997528,0.5248540663279407,0.37872595146904015,0.1906105580305066,0.1259650549972587,0.44637036233707833,0.24083066766548064
35,0.3932386331797875,0.6891326799988746,0.24978234591754087,0.16078009267710583,0.5319052362930805,0.3007187083905746,0.20717261491588296,0.13816641378254996,0.43938954888296167,0.25226453632228335
36,0.39154915763545284,0.6896919853985309,0.27448109450459063,0.17909606114575127,0.5283817751403784,0.3550791317026282,0.20914257148589632,0.13678595615436934,0.4219238429186188,0.2778244797998612
37,0.388527314964029,0.7107862949371337,0.2521325125898286,0.16328816171478544,0.5358770523358571,0.3088959571259131,0.21100397048906117,0.13952661532893776,0.4518012808595057,0.2771744483900985
38,0.3853189614937477,0.6828213714063167,0.24507646212108725,0.1568656390024435,0.5382956458709448,0.290178460259407,0.19639457946927025,0.13093270596885045,0.46660624322665595,0.2285770658338734
39,0.3858239698809447,0.6935883194208146,0.27127437904807516,0.1770956373304254,0.5312374785206556,0.34780851647908473,0.18672299448735205,0.12510641259955574,0.5074877642176847,0.2045713538491185
40,0.383743878492375,0.6810836136341095,0.2743911591455637,0.1796844972117992,0.5289742855034179,0.36239913355639425,0.207045007424227,0.13704691260671514,0.45521430236694205,0.26271216880176873
41,0.38384413304402654,0.6839130394160747,0.2766894053068838,0.1813420210917412,0.5264868389290083,0.36316311897540127,0.21157172758394843,0.13865686241882705,0.4479822429266201,0.2794222044902922
42,0.3807825174374679,0.7003134869039058,0.24822062366727776,0.1592594327039233,0.5374161409563001,0.29778116220012874,0.19491413666522117,0.1295166985152882,0.4767195384598108,0.2384299791794894
43,0.3802655560607763,0.6771243840456009,0.2621625961639587,0.17049135792727027,0.5314534669726865,0.33398738195358646,0.2173725762875825,0.14400480838976157,0.45810845083250024,0.276140713575318
44,0.3793642242391085,0.689069464802742,0.2583516492800589,0.16738543564090333,0.53222454647297,0.32300297133249123,0.22304190717748304,0.14691903966473668,0.4477315630997567,0.30145681968331905
45,0.3774156715298436,0.6887766100466252,0.2597649654422164,0.16860632052510405,0.5332868279896402,0.332386581646113,0.2138269140316052,0.14174712029183917,0.4589730194124009,0.2673922744809408
46,0.37691490475049955,0.6895020939409733,0.26039532302267016,0.16914348150913372,0.5341389331916252,0.3314103575529884,0.19927477794290385,0.13060240054126923,0.44084357729010526,0.2707451796045605
47,0.37332242573659447,0.6882327139377594,0.2546475865965251,0.16442774413709876,0.5348224433885049,0.31731651886084133,0.21707462590365703,0.14371724654037565,0.45626114055319267,0.2684079117061397
48,0.37020860776766057,0.6767260268330574,0.2724734334833462,0.17799522617838612,0.5306637789308879,0.35250436629456733,0.19148984723862078,0.12659854966332826,0.45694425334671285,0.22529059512186783
49,0.36975452514346113,0.6795918196439743,0.2695367675523571,0.17651936246453082,0.5311277386766301,0.3508046489005323,0.20721603675844608,0.13594747919849912,0.4497331764229237,0.26542553730361906
50,0.369065449286982,0.683304962515831,0.2566202174301979,0.16664697354749455,0.5356057445300242,0.31690627496555845,0.201079134256212,0.13445688733975553,0.46776493327124735,0.22627309291409325
51,0.36507842674390556,0.688337566703558,0.25290561877722717,0.16413559055620372,0.5405140319866341,0.3123998397623534,0.21254381395075778,0.14036745215722304,0.45127002862201665,0.26694012652067
52,0.3616748587065136,0.6787570163607597,0.29397533905279494,0.1953026234167619,0.5272712738708979,0.4093555900463647,0.2050814330409593,0.13395739433380002,0.44546595808422146,0.2580192310250237
53,0.36210519539326735,0.6733435809612274,0.270563945603188,0.1771228224724783,0.5344612942421698,0.33899759842556265,0.20305927264481366,0.13304089176893127,0.4544968106093881,0.23756477054888828
54,0.35937398189736397,0.6721807911992073,0.26690941277919805,0.17495657772749593,0.53739531020704,0.3331321131738735,0.20449539765610533,0.13519674910099064,0.4621708051764606,0.23612712575429687
55,0.359169469512615,0.6630795210599899,0.279398404285646,0.18446409554061743,0.5324260155005447,0.3609742228677807,0.22083496416284149,0.14679526788979735,0.47307799057096284,0.2491112205676483
56,0.357574333527039,0.6760540395975113,0.2870142591731583,0.19042207118534427,0.5286525658652985,0.38875647297088717,0.19551572870574352,0.1280469395183555,0.4550966432354008,0.22556286959934604
57,0.3565167388197073,0.6934896528720855,0.2521547081805736,0.16314645938407962,0.5454937517180347,0.30296199468552054,0.19853084105747193,0.13171223802767304,0.48292905781581397,0.24098617729729677
