Epoch,Train_Loss,Val_Loss,Liver_Dice,Liver_IoU,Liver_Prec,Liver_Recall,Instrument_Dice,Instrument_IoU,Instrument_Prec,Instrument_Recall
1,0.6704986675498412,0.686349256336689,0.2249242639860575,0.13986000669262794,0.48690027872080865,0.27068781991388485,0.1370326409126417,0.07902346055651326,0.27526749681766954,0.245506587229048
2,0.61326006030299,0.68143909573555,0.18404144553296434,0.11142517291544089,0.5124249708306357,0.20323459901671642,0.11847409946115128,0.06809619218007194,0.37972792231087066,0.1906218688040979
3,0.5736442452853487,0.6747843205928803,0.1943253069594685,0.1191970298627976,0.5045623312778715,0.2310937814560506,0.19161251701062512,0.11589164752843235,0.27569649458165485,0.37167231250394894
4,0.5447234693569006,0.6824277073144913,0.2021770938871839,0.12579079902446966,0.5314860923130127,0.2527051354233545,0.1637789139370486,0.09817862321892364,0.40128853577526025,0.3036288270481359
5,0.49024174413115706,0.6697331294417381,0.23426884962785416,0.1502844117331713,0.5219850302881983,0.3151297157587086,0.22006755740687595,0.14053172653630414,0.27573155994027887,0.4769704971304919
6,0.48532662305635277,0.6543842434883118,0.232668645046958,0.14767123204164417,0.514658919055264,0.30369646759595,0.233527136248202,0.1481198859585625,0.27237019515538463,0.4869246309691964
7,0.4707377311802402,0.6660789132118226,0.11721412616374485,0.06845703536152709,0.6095204551936891,0.10141358412888221,0.20233025613010644,0.12770397050801244,0.310260222600224,0.2521240472465147
