stage,epoch,train_loss,val_loss,val_dice_liver,val_dice_inst,lr
stage1,1,0.6532643130752775,0.6702219060876152,1.623062067874038e-11,0.0,8.15042387139646e-06
stage1,2,0.549731906818019,0.6704677470705726,0.01418204719557833,0.0,1.988394472257511e-05
stage1,3,0.43037133472661177,0.7494780078530312,0.06602345636305602,0.0,3.717143401035844e-05
stage1,4,0.350241671382553,0.7948430142619393,0.12846023521059424,0.0,5.70232913923912e-05
stage1,5,0.288940910278923,0.8023244586857883,0.1992127876431636,0.0,7.600644925325893e-05
stage1,6,0.2387495264576541,0.7694721815260974,0.25965233319892506,0.0,9.08380679454519e-05
stage1,7,0.21503105568182138,0.7464394782754508,0.30459605184732935,0.0,9.895325145765651e-05
stage1,8,0.1811608647286064,0.7989667104726488,0.29248477240960874,0.0,9.979826825871821e-05
stage1,9,0.1816782896882958,0.786102004755627,0.31038731201498937,0.0,9.819682337385656e-05
stage1,10,0.16420001947941879,0.7728043276816606,0.3146276136618706,0.0,9.504629935744534e-05
stage1,11,0.16237887185377378,0.8030169905586676,0.3132727893733483,0.0,9.044795664363182e-05
stage1,12,0.157012508917186,0.8171725908802314,0.3135181983369297,0.0,8.454958975076696e-05
stage1,13,0.1340547651083519,0.854054547812451,0.31399012467515064,0.0,7.754077704397985e-05
stage1,14,0.12620463549055988,0.8733271006833423,0.30542434758461406,0.0,6.964678753053699e-05
stage1,15,0.12285131347676118,0.9095318618823182,0.29008512469451736,0.0,6.112134052859659e-05
stage1,16,0.12935324636908868,0.8836588316343047,0.3081287097230415,0.0,5.223845091956218e-05
stage1,17,0.11613063669194364,0.9369330575181679,0.3031923300391513,0.0,4.328362208433406e-05
stage1,18,0.1182813672012546,0.9204993824220516,0.31101844017803987,0.0,3.454466958973416e-05
stage1,19,0.1028943574294034,0.9360737110911446,0.31413715800287967,0.0,2.630247055937298e-05
stage1,20,0.09889252532842673,0.9469881113110619,0.32191692002318384,0.0,1.8821936051790287e-05
stage1,21,0.09619885455713503,0.9481390035626563,0.33189623169997834,0.0,1.2343496601064083e-05
stage1,22,0.09386790233664215,0.9904158381237225,0.3193450493109677,0.0,7.07537458161844e-06
stage1,23,0.09169404435385432,0.9948409110138362,0.3230329227945979,0.0,3.1868917697835784e-06
stage1,24,0.09136814362576438,0.997197389958257,0.3226356369049013,0.0,8.030272025861886e-07
stage1,25,0.0881032945231224,1.000388510186564,0.3207102052694774,0.0,4.002486662865416e-10
stage2,1,0.32546412480278675,1.0488991581580855,0.23244799770372584,0.48819501778449526,2.364618677931571e-06
stage2,2,0.13938181568235652,1.1206607586280866,0.2648310762410719,0.5294082891873338,3.4473958133682495e-06
stage2,3,0.10893571278348295,1.1621910362081094,0.29177946604002963,0.5447816340083426,5.215431342341887e-06
stage2,4,0.089128403522132,1.1689066141843796,0.2844121621900492,0.5611928882077336,7.615003700093306e-06
stage2,5,0.08018405897819132,1.2264134006066756,0.30470642270573245,0.5684941134246235,1.0573202144898797e-05
stage2,6,nan,1.1906659894368865,0.3099753842620306,0.5910441164350645,1.4000142142924677e-05
stage2,7,0.07274151861706624,1.2324444057250565,0.3144769448797557,0.5920033680783077,1.7791696499885015e-05
stage2,8,0.06871253033128878,1.2795506556264378,0.28285973668733444,0.5842764431949367,2.1832659254368107e-05
stage2,9,0.07039413096887032,1.2748017364604907,0.3582438110119917,0.6113889477893033,2.6000246198281422e-05
stage2,10,0.0671696516416709,1.2641911415552551,0.29590865425469187,0.5988962163471363,3.0167825661487078e-05
stage2,11,0.07513655990441216,1.2727659801698543,0.323385035363026,0.5932844498618083,3.4208766201147676e-05
stage2,12,nan,1.258880498192527,0.3151514816986905,0.6013402071485127,3.800028428416563e-05
stage2,13,0.07352444694082429,1.1917677715420723,0.31864415236579424,0.624427549585446,4.1427175051308947e-05
stage2,14,0.07143626970073355,1.1779244609515775,0.38517280707813123,0.6167458987837149,4.438531280416667e-05
stage2,15,nan,1.0578609481115233,0.30942457807250323,0.6489531718914143,4.678481485302326e-05
